Original list entry with notes,EU Category,EU category description,Etymology category (best fit),Passport/document name (text enclosed in single quotes for category A),Notes,Sources
‘ADRA’ (Adventist Development and Relief Agency),Category A,Fantasy passports,Religious authority/group,ADRA,Adventist Development and Relief Agency,
‘Alaska’,Category A,Fantasy passports,State/region within a country,Alaska,,
‘Aboriginal Nation Passport’,Category A,Fantasy passports,Ethnic/tribal group,Aboriginal Nation Passport,,
‘Atoomvrijstaat’ – ‘Nuclear Free State’,Category A,Fantasy passports,Campaign group,Atoomvrijstaat · Nuclear Free State,Atoomvrijstaat – Nuclear Free State,
‘Imperial Casa Azteka’,Category A,Fantasy passports,Former country,Imperial Casa Azteka,,
‘Anishinabek’ (‘Native American passports’),Category A,Fantasy passports,Ethnic/tribal group,Anishinabek · Native American passports,Anishinabek Native American passports,
‘Antarktida’ – Diplomatic passport,Category A,Fantasy passports,Pseudo-state,Antarktida,– Diplomatic passport,
‘Antigua’ (see also ‘Passport d ́Antigua’),Category A,Fantasy passports,State/region within a country,Antigua · Passport d ́Antigua,Antigua see also Passport d ́Antigua,
‘Arab International Organisation’,Category A,Fantasy passports,Organisation,Arab International Organisation,,
‘Association d ́entraide humanitaire international’,Category A,Fantasy passports,Organisation,Association d ́entraide humanitaire international,,
‘Basconia’,Category A,Fantasy passports,Pseudo-state,Basconia,,
‘Baltic States’ (‘passports’ issued by the government in exile),Category A,Fantasy passports,Pseudo-state,Baltic States · passports,Baltic States passports issued by the government in exile,
‘Baltic Trade Mission’ (diplomatic identity documents),Category A,Fantasy passports,Organisation,Baltic Trade Mission,diplomatic identity documents,
‘Bitnation Diplomatic Passport’ (document issued by tse.bitnation.co),Category A,Fantasy passports,Pseudo-state,Bitnation Diplomatic Passport,document issued by tse.bitnation.co,
‘Byzantine Empire’ (‘passport’ issued by the ‘Holy Roman Empire of the East’),Category A,Fantasy passports,Former country,Byzantine Empire · passport · Holy Roman Empire of the East,Byzantine Empire passport issued by the Holy Roman Empire of the East,
‘Carolingian States and Dynasty’,Category A,Fantasy passports,Former country,Carolingian States and Dynasty,,
‘Castellania’ (Grand Master of the Order of Free Templars),Category A,Fantasy passports,Order of knighthood (claimed),Castellania,Grand Master of the Order of Free Templars,
‘CD - Legitimation CD International’ (diplomatic identity documents),Category A,Fantasy passports,Document,CD - Legitimation CD International,diplomatic identity documents,
‘Centre d ́Information Corps Diplomatique et Consulaire’,Category A,Fantasy passports,Organisation,Centre d ́Information Corps Diplomatique et Consulaire,,
